,Vm1 (mV)
387,0.12207031
388,0.24414062
389,0.12207031
390,0.5187988
391,0.33569336
392,-0.030517578
393,0.030517578
394,0.12207031
395,0.21362305
396,-0.030517578
397,-0.091552734
398,-0.030517578
399,0.030517578
400,0.061035156
401,0.030517578
402,-0.091552734
403,-0.091552734
404,0.15258789
405,-0.091552734
406,0.091552734
407,-0.18310547
408,0.030517578
409,-0.030517578
410,0.061035156
411,0.091552734
412,0.21362305
413,0.15258789
414,0.12207031
415,-0.030517578
416,-0.030517578
417,0.15258789
418,0.061035156
419,-0.061035156
420,0.030517578
421,-0.061035156
422,0.24414062
423,0.18310547
424,0.030517578
425,0.12207031
426,0.15258789
427,0.091552734
428,0.18310547
429,0.061035156
430,0.36621094
431,0.091552734
432,0.061035156
433,0.061035156
434,0.12207031
435,0.24414062
436,0.12207031
437,0.030517578
438,-0.061035156
439,0.15258789
440,0.12207031
441,0.030517578
442,-0.030517578
443,-0.061035156
444,-0.091552734
445,0.061035156
446,-0.15258789
447,0.091552734
448,-0.061035156
449,-0.091552734
450,-0.12207031
451,-0.061035156
452,-0.030517578
453,0.061035156
454,0.061035156
455,-0.030517578
456,-0.030517578
457,0.030517578
458,0.12207031
459,0.061035156
460,0.061035156
461,-0.091552734
462,0.24414062
463,0.12207031
464,0.18310547
465,0.21362305
466,0.21362305
467,0.24414062
468,0.24414062
469,0.2746582
470,0.061035156
471,0.030517578
472,0.061035156
473,0.061035156
474,-0.030517578
475,0.030517578
476,0.091552734
477,0.030517578
478,0.24414062
479,0.2746582
480,0.15258789
481,-0.091552734
482,-0.061035156
483,-0.030517578
484,-0.091552734
485,0.030517578
486,0.18310547
487,0.061035156
488,0.091552734
489,0.061035156
490,0.030517578
491,0.091552734
492,0.12207031
493,0.24414062
494,0.15258789
495,-0.030517578
496,0.24414062
497,0.12207031
498,-0.030517578
499,0.030517578
500,0.12207031
501,0.21362305
502,0.030517578
503,0.24414062
504,0.18310547
505,0.24414062
506,0.21362305
507,0.18310547
508,0.36621094
509,0.39672852
510,-0.030517578
511,-0.12207031
512,0.061035156
513,-0.030517578
514,-0.030517578
515,0.091552734
516,0.12207031
517,0.061035156
518,0.061035156
519,0.091552734
520,0.061035156
521,-0.030517578
522,0.030517578
523,-0.15258789
524,0.18310547
525,-0.091552734
526,0.36621094
527,0.091552734
528,0.15258789
529,0.21362305
530,0.030517578
531,-0.061035156
532,-0.091552734
533,0.030517578
534,0.091552734
535,-0.15258789
536,0.091552734
537,0.061035156
538,-0.030517578
539,0.15258789
540,-0.061035156
541,0.12207031
542,0.091552734
543,0.030517578
544,0.061035156
545,0.030517578
546,0.061035156
547,0.061035156
548,0.18310547
549,0.12207031
550,0.39672852
551,0.21362305
552,-0.030517578
553,-0.091552734
554,-0.061035156
555,0.091552734
556,0.030517578
557,0.061035156
558,0.48828125
559,0.091552734
560,0.061035156
561,0.030517578
562,-0.030517578
563,0.061035156
564,0.15258789
565,-0.091552734
566,0.18310547
567,-0.091552734
568,0.21362305
569,-0.12207031
570,0.061035156
571,0.030517578
572,0.030517578
573,0.12207031
574,0.061035156
575,0.061035156
576,-0.21362305
577,0.030517578
578,-0.030517578
579,0.030517578
580,-0.030517578
581,-0.21362305
582,0.18310547
583,0.091552734
584,0.18310547
585,0.18310547
586,0.15258789
587,0.091552734
588,0.061035156
589,0.36621094
590,0.091552734
591,0.15258789
592,0.030517578
593,-0.030517578
594,0.061035156
595,0.061035156
596,0.15258789
597,-0.030517578
598,-0.030517578
599,0.091552734
600,0.12207031
601,0.061035156
602,-0.030517578
603,-0.061035156
604,0.18310547
605,0.091552734
606,0.2746582
607,-0.030517578
608,-0.030517578
609,-0.091552734
610,-0.030517578
611,0.030517578
612,0.030517578
613,0.061035156
614,0.030517578
615,-0.030517578
616,-0.061035156
617,0.12207031
618,0.061035156
619,-0.061035156
620,0.091552734
621,0.030517578
622,0.33569336
623,0.061035156
624,0.18310547
625,0.061035156
626,0.18310547
627,0.18310547
628,0.2746582
629,0.39672852
630,0.061035156
631,0.12207031
632,0.030517578
633,0.030517578
634,0.091552734
635,0.12207031
636,0.18310547
637,0.061035156
638,-0.061035156
639,-0.18310547
640,0.24414062
641,0.091552734
642,0.12207031
643,0.091552734
644,0.091552734
645,0.15258789
646,0.12207031
647,0.12207031
648,0.15258789
649,0.15258789
650,0.24414062
651,0.15258789
652,0.18310547
653,0.2746582
654,0.4272461
655,0.24414062
656,0.091552734
657,0.15258789
658,0.5493164
659,0.36621094
660,0.18310547
661,0.21362305
662,0.21362305
663,0.15258789
664,0.21362305
665,0.18310547
666,0.18310547
667,0.18310547
668,0.21362305
669,0.21362305
670,0.2746582
671,0.39672852
672,0.64086914
673,0.24414062
674,0.5187988
675,0.24414062
676,0.21362305
677,0.18310547
678,0.4272461
679,0.30517578
680,0.33569336
681,0.30517578
682,0.2746582
683,0.2746582
684,0.30517578
685,0.5493164
686,0.61035156
687,0.24414062
688,0.2746582
689,0.30517578
690,0.2746582
691,0.30517578
692,0.33569336
693,0.36621094
694,0.39672852
695,0.36621094
696,0.8239746
697,0.4272461
698,0.33569336
699,0.33569336
700,0.48828125
701,0.33569336
702,0.39672852
703,0.21362305
704,0.4272461
705,0.30517578
706,0.7019043
707,0.5493164
708,0.61035156
709,0.39672852
710,0.4272461
711,0.39672852
712,0.5493164
713,0.45776367
714,0.5187988
715,0.45776367
716,0.4272461
717,0.5187988
718,0.48828125
719,0.48828125
720,0.6713867
721,0.5493164
722,0.88500977
723,0.7019043
724,0.6713867
725,0.7019043
726,0.64086914
727,0.7019043
728,0.8239746
729,0.33569336
730,0.5493164
731,0.5493164
732,0.48828125
733,0.48828125
734,0.5187988
735,0.5187988
736,0.88500977
737,0.61035156
738,0.61035156
739,0.61035156
740,0.7324219
741,0.61035156
742,0.9460449
743,0.79345703
744,0.79345703
745,0.7324219
746,0.6713867
747,0.6713867
748,0.7019043
749,0.76293945
750,0.61035156
751,0.61035156
752,0.7324219
753,0.7324219
754,0.7019043
755,0.79345703
756,0.9765625
757,0.76293945
758,0.7019043
759,0.8544922
760,0.5493164
761,0.9765625
762,0.8239746
763,0.76293945
764,0.79345703
765,0.76293945
766,0.7324219
767,0.79345703
768,0.76293945
769,0.8239746
770,0.8544922
771,0.79345703
772,0.8239746
773,0.8239746
774,0.79345703
775,0.9765625
776,0.79345703
777,0.76293945
778,0.8239746
779,0.8544922
780,0.88500977
781,0.8239746
782,0.8544922
783,0.8544922
784,0.8544922
785,0.8239746
786,0.8239746
787,0.8544922
788,0.91552734
789,0.91552734
790,0.61035156
791,1.0986328
792,0.8544922
793,0.88500977
794,1.0375977
795,0.9765625
796,0.91552734
797,0.91552734
798,1.0681152
799,1.0986328
800,0.91552734
801,0.91552734
802,0.9460449
803,0.88500977
804,0.91552734
805,0.88500977
806,0.8544922
807,0.9765625
808,0.91552734
809,1.0070801
810,1.0375977
811,1.3122559
812,0.8544922
813,0.9765625
814,0.9460449
815,1.2817383
816,0.9765625
817,0.9460449
818,1.1291504
819,1.0375977
820,1.0681152
821,1.0986328
822,1.0375977
823,1.0070801
824,1.0681152
825,1.0070801
826,1.0375977
827,1.1901855
828,1.1901855
829,1.3122559
830,1.4648438
831,0.91552734
832,1.0375977
833,1.0375977
834,1.0375977
835,1.0070801
836,1.0986328
837,1.0681152
838,1.3122559
839,1.373291
840,1.1291504
841,1.0986328
842,1.1291504
843,1.1901855
844,1.0986328
845,1.0986328
846,1.0986328
847,1.1901855
848,1.0681152
849,1.1291504
850,1.2817383
851,0.9765625
852,1.2512207
853,1.2512207
854,1.3427734
855,1.2817383
856,1.0986328
857,1.0986328
858,1.4343262
859,1.0070801
860,1.2512207
861,1.2512207
862,1.2512207
863,1.2207031
864,1.2512207
865,1.2512207
866,1.2817383
867,1.2817383
868,1.2512207
869,1.2207031
870,1.2207031
871,1.2512207
872,1.1901855
873,1.2512207
874,1.2207031
875,1.373291
876,1.4648438
877,1.3122559
878,1.2817383
879,1.5563965
880,1.5869141
881,1.5869141
882,1.373291
883,1.4038086
884,1.3122559
885,1.3122559
886,1.3122559
887,1.4038086
888,1.4953613
889,1.4038086
890,1.4038086
891,1.2817383
892,1.3427734
893,1.373291
894,1.2817383
895,1.5563965
896,1.373291
897,1.4648438
898,1.373291
899,1.3122559
900,1.3122559
901,1.7089844
902,1.4343262
903,1.5869141
904,1.4343262
905,1.5869141
906,1.4038086
907,1.4343262
908,1.3122559
909,1.5563965
910,1.373291
911,1.5258789
912,1.4648438
913,1.5869141
914,1.4648438
915,1.4343262
916,1.7089844
917,1.5869141
918,1.4343262
919,1.4343262
920,1.3427734
921,1.2512207
922,1.5563965
923,1.5258789
924,1.5563965
925,1.5563965
926,1.5563965
927,1.5258789
928,1.5258789
929,1.7089844
930,1.6479492
931,1.373291
932,1.4953613
933,1.5563965
934,1.5869141
935,1.5258789
936,1.7089844
937,1.6174316
938,1.5258789
939,1.7089844
940,1.7700195
941,1.373291
942,1.5869141
943,1.8310547
944,1.7700195
945,1.8005371
946,1.8615723
947,1.8920898
948,1.7089844
949,1.7089844
950,1.5563965
951,1.5869141
952,1.6784668
953,1.8005371
954,1.6479492
955,1.5869141
956,1.6784668
957,1.7700195
958,1.6479492
959,1.5869141
960,1.7089844
961,1.5258789
962,1.7089844
963,1.8310547
964,1.7089844
965,1.7089844
966,1.7700195
967,1.7700195
968,1.7700195
969,1.8005371
970,2.0751953
971,1.8615723
972,1.8005371
973,1.6784668
974,1.7089844
975,2.0446777
